Any,Núm. Mes,Nom Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Tipus de fet,Tipus de fet (Codi penal) o d’Infracció (altres lleis),Àmbit fet,Rol,Sexe,Edat,Nombre víctimes
2020,1,Gener,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,Baix Llobregat,Cornellà de Llobregat,Via pública urbana,Delictes,Lesions (lleu),Orientació política,Víctimes,Home,24,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Pla de l'Estany,Banyoles,Habitatge - Altres espais,Delictes,Amenaces,Religiós,Víctimes,Dona,59,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Pla de l'Estany,Banyoles,Habitatge - Altres espais,Delictes,Amenaces,Religiós,Víctimes,Dona,28,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Pla de l'Estany,Banyoles,Habitatge - Altres espais,Delictes,Amenaces,Religiós,Víctimes,Dona,25,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Pla de l'Estany,Banyoles,Habitatge - Altres espais,Delictes,Amenaces,Religiós,Persones autores,Home,39,1
2020,1,Gener,RP Girona,ABP Selva Litoral,Girona,Selva,Lloret de Mar,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Dona,31,1
2020,1,Gener,RP Girona,ABP Selva Litoral,Girona,Selva,Lloret de Mar,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Persones autores,Home,68,1
2020,7,Juliol,RP Central,ABP Bages,Barcelona,Bages,Resta de municipis ABP Bages,Via pública urbana,Delictes,Lesions,LGTBI-fòbia,Víctimes,Dona,45,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,20,1
2020,1,Gener,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Establiments - Restauració - Bar,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,47,1
2020,1,Gener,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Establiments - Restauració - Bar,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Dona,50,1
2020,1,Gener,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Establiments - Restauració - Bar,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Home,51,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,27,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Home,53,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Via pública urbana,Delictes,Abusos sexuals (víctima menor de 16 anys),Sexisme,Víctimes,Home,52,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Via pública urbana,Delictes,Abusos sexuals (víctima menor de 16 anys),Sexisme,Víctimes,Dona,14,1
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Transport públic - Metro - Estació,Delictes,Amenaces,"Ètnic, origen nacional i/o racial",Víctimes,Home,31,1
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Transport públic - Metro - Estació,Delictes,Amenaces,"Ètnic, origen nacional i/o racial",Persones autores,Home,36,1
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Transport públic - Metro - Estació,Delictes,Amenaces,"Ètnic, origen nacional i/o racial",Persones autores,Home,37,1
2020,1,Gener,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Transport públic - Metro - Estació,Delictes,Amenaces,"Ètnic, origen nacional i/o racial",Persones autores,Home,20,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Hosteleria - Hotel,Delictes,Coaccions (lleu),Orientació política,Víctimes,Home,47,1
2020,1,Gener,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Transport públic - Metro - Comboi,Delictes,Lesions (lleu),LGTBI-fòbia,Víctimes,Home,23,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Salt,Habitatge - Escala/portal finca/replà,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Dona,40,1
2020,1,Gener,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Salt,Habitatge - Escala/portal finca/replà,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Dona,68,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Dona,39,1
2020,1,Gener,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Persones autores,Dona,42,1
2020,1,Gener,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Establiments - Altres comerços,Delictes,Amenaces (lleu),LGTBI-fòbia,Víctimes,Home,32,1
2020,1,Gener,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Establiments - Altres comerços,Delictes,Amenaces (lleu),LGTBI-fòbia,Víctimes,Home,32,1
2020,1,Gener,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Establiments - Altres comerços,Delictes,Amenaces (lleu),LGTBI-fòbia,Víctimes,Home,32,1
2020,1,Gener,RP Central,ABP Anoia,Barcelona,Anoia,Resta de municipis ABP Anoia,Establiments - Altres comerços,Delictes,Amenaces (lleu),LGTBI-fòbia,Persones autores,Home,68,1
2020,1,Gener,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Via pública urbana,Delictes,Assetjament,LGTBI-fòbia,Víctimes,Home,21,1
2020,1,Gener,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Via pública urbana,Delictes,Assetjament,LGTBI-fòbia,Persones autores,Home,17,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Castellar del Vallès,Habitatge - Primera residència - Casa adossada,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Víctimes,Home,14,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Castellar del Vallès,Habitatge - Primera residència - Casa adossada,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Persones autores,Home,14,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Castellar del Vallès,Habitatge - Primera residència - Casa adossada,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Persones autores,Home,14,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Castellar del Vallès,Habitatge - Primera residència - Casa adossada,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Persones autores,Home,14,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Casa adossada,Delictes,Amenaces (lleu),LGTBI-fòbia,Víctimes,Home,33,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Casa adossada,Delictes,Amenaces (lleu),LGTBI-fòbia,Víctimes,Home,52,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Casa adossada,Delictes,Amenaces (lleu),LGTBI-fòbia,Persones autores,Home,33,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Lesions (lleu),LGTBI-fòbia,Víctimes,Home,24,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Transport públic - Renfe - Adif -Comboi,Delictes,Contra exercici drets fonamentals i llibertats públiques,Orientació política,Víctimes,Home,17,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Transport públic - Renfe - Adif -Comboi,Delictes,Contra exercici drets fonamentals i llibertats públiques,Orientació política,Persones autores,Home,31,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Home,47,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Home,20,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Dona,24,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Home,18,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Víctimes,Home,17,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",Persones autores,Home,32,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Dona,39,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta de municipis ABP Arenys de Mar,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),Orientació política,Víctimes,Dona,52,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta de municipis ABP Arenys de Mar,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),Orientació política,Víctimes,Home,15,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta de municipis ABP Arenys de Mar,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),Orientació política,Víctimes,Home,15,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Persones autores,Home,58,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,40,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Resta de municipis ABP Cerdanyola,Institut d'Educació,Delictes,Amenaces (lleu),LGTBI-fòbia,Víctimes,Dona,18,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Resta de municipis ABP Cerdanyola,Institut d'Educació,Delictes,Amenaces (lleu),LGTBI-fòbia,Persones autores,Home,15,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Resta de municipis ABP Cerdanyola,Institut d'Educació,Delictes,Amenaces (lleu),LGTBI-fòbia,Persones autores,Home,15,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,Vallès Occidental,Resta de municipis ABP Cerdanyola,Institut d'Educació,Delictes,Amenaces (lleu),LGTBI-fòbia,Persones autores,Home,16,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta de municipis ABP Arenys de Mar,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),Orientació política,Víctimes,Dona,52,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta de municipis ABP Arenys de Mar,Habitatge - Primera residència - Pis/apartament,Delictes,Amenaces (lleu),Orientació política,Víctimes,Home,15,1
2020,2,Febrer,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Establiments - Casino,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,18,1
2020,2,Febrer,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Establiments - Casino,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Dona,21,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Associació de veïns,Delictes,Danys (lleu),Orientació política,Víctimes,Home,31,1
2020,2,Febrer,RP Ponent,ABP Segarra - Urgell,Lleida,Segarra,Resta de municipis ABP Segarra - Urgell,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,51,1
2020,2,Febrer,RP Ponent,ABP Segarra - Urgell,Lleida,Segarra,Resta de municipis ABP Segarra - Urgell,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,53,1
2020,2,Febrer,RP Ponent,ABP Segarra - Urgell,Lleida,Segarra,Resta de municipis ABP Segarra - Urgell,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Persones autores,Home,46,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Dona,53,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Dona,16,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Dona,14,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Home,16,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Persones autores,Dona,42,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Persones autores,Dona,14,1
2020,2,Febrer,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Persones autores,Dona,13,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Resta de municipis ABP Sabadell,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,47,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Resta de municipis ABP Sabadell,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,13,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Resta de municipis ABP Sabadell,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Home,16,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Resta de municipis ABP Sabadell,Via pública urbana,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Home,16,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Gràcia,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,33,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Gràcia,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,28,1
2020,2,Febrer,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Esparreguera,Establiments - Discoteca,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,25,1
2020,2,Febrer,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Esparreguera,Establiments - Discoteca,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,21,1
2020,2,Febrer,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Esparreguera,Establiments - Discoteca,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Persones autores,Home,24,1
2020,2,Febrer,RP Ponent,ABP Segarra - Urgell,Lleida,Urgell,Resta de municipis ABP Segarra - Urgell,Via pública urbana,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,57,1
2020,2,Febrer,RP Ponent,ABP Segarra - Urgell,Lleida,Urgell,Resta de municipis ABP Segarra - Urgell,Via pública urbana,Delictes,Amenaces (lleu),"Ètnic, origen nacional i/o racial",Persones autores,Home,71,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Escola,Delictes,Injúria,LGTBI-fòbia,Víctimes,Home,15,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Escola,Delictes,Injúria,LGTBI-fòbia,Persones autores,Home,16,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Establiments - Restauració - Restaurant,Delictes,Falta de maltractament d'obra sense lesió,LGTBI-fòbia,Víctimes,Home,34,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Terrassa,Barcelona,Vallès Occidental,Terrassa,Establiments - Restauració - Restaurant,Delictes,Falta de maltractament d'obra sense lesió,LGTBI-fòbia,Persones autores,Home,19,1
2020,2,Febrer,RP Ponent,ABP Segarra - Urgell,Lleida,Urgell,Resta de municipis ABP Segarra - Urgell,Altres espais oberts,Delictes,Danys (lleu),Orientació política,Víctimes,Home,71,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Via pública urbana,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Víctimes,Dona,47,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Via pública urbana,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Víctimes,Home,15,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Mollet del Vallès,Barcelona,Vallès Oriental,Mollet del Vallès,Via pública urbana,Delictes,Tracte degradant / vexatori,LGTBI-fòbia,Persones autores,Home,16,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Víctimes,Home,50,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Persones autores,Home,32,1
2020,2,Febrer,RP  Metropolitana Nord,ABP Granollers,Barcelona,Vallès Oriental,Resta de municipis ABP Granollers,Via pública urbana,Delictes,Robatori amb violència i/o intimidació,LGTBI-fòbia,Persones autores,Home,41,1
2020,2,Febrer,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Associacions - Altres,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,56,1
2020,2,Febrer,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Associacions - Altres,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Persones autores,Home,42,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Coaccions (lleu),Orientació política,Víctimes,Home,45,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Coaccions (lleu),Orientació política,Víctimes,Dona,33,1
2020,2,Febrer,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Via pública urbana,Delictes,Coaccions (lleu),Orientació política,Víctimes,Home,53,1
2020,2,Febrer,RP Girona,ABP Garrotxa,Girona,Garrotxa,Olot,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Víctimes,Home,32,1
2020,2,Febrer,RP Girona,ABP Garrotxa,Girona,Garrotxa,Olot,Via pública urbana,Delictes,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,Persones autores,Home,47,1
2020,2,Febrer,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,Calafell,Dependències - Administració local,Delictes,Lesions (lleu),"Ètnic, origen nacional i/o racial",Víctimes,Home,19,1
